LCSC Part Number,Manufacture Part Number,Manufacturer,Customer NO.,Package,Description,RoHS,Order Qty.,Min\Mult Order Qty.,Unit Price,Order Price
C404749,MLZ2012M100HTD25,TDK,,805,300mA 10uH ±20% 200mA 680mΩ 0805  Inductors (SMD) ROHS,YES,5,1\5,0.1125,0.56
C2675856,SN74LVC2G17DRYR,Texas Instruments,,SON-6(1x1.5),Schmitt Trigger 1 32mA 1.65V~5.5V 32mA SON-6(1x1.5)  Buffer/Driver/Transceiver ROHS,YES,10,1\1,0.2641,2.64
C5266012,CR0201FH2402G,LIZ Elec,,201,±1% 24kΩ 0201  Chip Resistor - Surface Mount ROHS,YES,100,100\100,0.001,0.1
C5142541,TCC0201X7R104K6R3ZT,CCTC,,201,6.3V 100nF X7R 0201  Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS,YES,100,1\100,0.001,0.1
C542290,50SVPK10M,PANASONIC,,SMD,50V 10uF Polymer ±20% 80mΩ 27.5mA@120Hz SMD  Solid Capacitors ROHS,YES,5,1\1,0.7446,3.72
C2041435,L-07C2N7SV6T,Johanson Dielectrics,,402,300mA 2.7nH 170mΩ 0402  Inductors (SMD) ROHS,YES,20,20\20,0.0273,0.55
C2759531,HP02WAF100KTCE,UNI-ROYAL(Uniroyal Elec),,402,100mW ±1% 1Ω 0402  Chip Resistor - Surface Mount ROHS,YES,50,1\50,0.0039,0.2
C720289,LMERW330F4K70Q9L,Resistor.Today,,MELF,330mW Metal Film Resistors ±1% 4.7kΩ MELF  Chip Resistor - Surface Mount ROHS,YES,20,20\20,0.0372,0.74
C308920,TPSB336M016R0350,Kyocera AVX,,CASE-B-3528,33uF 16V 350mΩ@100kHz ±20% CASE-B-3528  Tantalum Capacitors ROHS,YES,6,1\1,0.2482,1.49
C308915,TPSA226K006R0500,Kyocera AVX,,CASE-A-3216,22uF 6.3V 500mΩ@100kHz ±10% CASE-A-3216  Tantalum Capacitors ROHS,YES,10,1\1,0.1396,1.4
C965350,NQ01WMF8200TEE,UNI-ROYAL(Uniroyal Elec),,201,50mW ±1% 820Ω 0201  Chip Resistor - Surface Mount ROHS,YES,100,100\100,0.0012,0.12
C694489,CGA1A2X7R1H471KT0YNN,TDK,,201,50V 470pF X7R ±10% 0201  Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS,YES,20,20\20,0.0356,0.71
C102618,AP3012KTR-G1,Diodes Incorporated,,SOT-23-5,boost converterType Adjustable 1.25V~29V 500mA 2.6V~16V SOT-23-5  DC-DC Converters ROHS,YES,5,5\5,0.1178,0.59
